RoadDistanceR,SurfaceR,UseR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
1,700,3,0,1,1,0,0,1,0
1,200,3,0,1,1,0,0,1,0
0,300,3,0,0,1,0,0,0,0
0,600,0,0,1,1,1,0,1,1
0,200,1,0,0,0,0,0,0,0
0,500,1,0,0,1,0,0,0,0
1,700,0,1,1,0,1,0,0,0
1,750,0,0,1,1,0,0,0,0
1,200,0,0,1,1,0,0,0,0
2,200,0,1,0,0,0,0,0,0
2,300,0,0,1,1,0,0,0,0
1,7000,3,1,0,1,0,0,0,0
2,1700,0,1,1,1,0,0,0,0
9,8000,0,0,1,1,0,0,0,0
2,30000,0,1,1,1,1,1,0,0
5,300,0,0,1,1,0,1,0,0
0,300,0,0,1,1,0,0,0,0
2,1600,3,1,1,1,1,0,0,0
0,3800,3,1,0,1,0,1,0,0
0,7000,3,1,0,1,0,0,0,0
0,2500,0,1,0,1,0,0,1,0
2,800,3,0,1,1,0,0,0,0
0,1700,0,0,1,1,0,0,0,0
5,300,0,1,0,0,0,0,1,0
9,4500,3,1,1,1,0,1,0,0
5,1000,0,0,1,0,0,0,0,0
5,7000,0,0,0,0,1,1,0,1
5,30000,1,1,1,1,0,0,1,1
5,3300,0,0,1,0,0,1,0,0
0,2100,0,0,0,0,0,1,0,0
2,500,3,1,1,0,0,0,0,0
2,300,0,0,1,1,0,0,0,0
2,1100,3,0,1,1,0,0,0,0
1,1000,0,0,0,0,1,0,0,0
2,400,1,0,0,1,0,1,0,1
1,100,0,0,1,0,0,0,0,0
2,100,3,1,0,0,0,0,0,0
5,80000,0,1,0,0,1,1,0,0
5,100,0,0,0,1,0,1,0,0
0,2500,0,0,1,0,0,0,0,0
5,31000,3,1,1,1,0,0,0,0
5,500,0,1,1,1,1,1,0,0
0,25000,3,1,0,0,1,0,0,0
5,40000,3,1,1,0,1,0,1,0
5,1900,0,1,1,0,0,1,1,0
0,30,0,0,1,1,0,0,1,0
5,4300,0,1,1,1,0,1,0,1
5,4000,0,1,1,1,0,0,0,0
2,300,0,0,1,0,0,0,0,0
0,400,0,0,1,0,0,0,1,0
5,1000,0,1,1,1,1,1,1,0
5,1500,1,0,1,1,0,0,0,0
5,300,0,1,1,1,0,1,1,0
0,28300,3,1,1,1,1,0,0,0
0,1000,3,1,0,1,0,0,0,0
5,50,0,1,1,1,1,0,0,0
1,9000,1,1,0,1,0,0,0,0
1,100,0,1,0,1,0,0,0,0
0,3500,0,1,1,1,0,0,0,0
5,300,0,1,1,0,0,0,0,0
5,100,0,0,1,0,0,0,0,0
0,200,0,0,1,0,0,0,0,0
10,300,0,1,1,1,0,1,0,0
10,300,0,1,1,0,1,0,0,0
5,300,0,1,1,1,0,0,0,0
0,1000,0,0,0,1,0,0,0,0
10,100,0,1,1,1,0,1,0,0
1,500,3,0,0,1,0,0,0,0
2,1000,0,0,0,0,0,1,0,0
10,500,0,1,0,1,0,0,1,0
1,600,3,1,1,1,0,1,1,1
1,1300,3,0,1,1,0,0,0,0
2,300,0,0,1,1,0,1,0,0
5,10050,0,0,1,1,1,0,1,1
9,9000,0,1,1,1,0,1,0,0
9,300,0,0,1,1,0,1,0,0
5,300,0,0,1,1,0,1,0,0
2,3500,0,1,1,1,1,0,1,0
1,300,0,1,0,0,0,0,0,0
1,16000,0,1,1,1,1,0,1,0
2,3500,0,1,1,1,0,0,1,0
5,300,0,1,1,0,1,0,1,0
5,10000,0,1,1,1,1,1,1,1
0,10000,0,0,1,1,0,1,0,0
2,29000,3,1,1,1,1,1,1,1
1,8250,0,1,1,1,1,1,1,1
2,250,0,1,1,1,1,1,1,1
2,80000,3,1,1,1,0,0,0,0
1,300,0,0,1,1,0,0,0,0
1,500000,3,1,1,1,1,1,1,1
1,450,0,1,1,1,0,1,1,0
0,300,0,0,1,0,0,0,0,0
0,50,0,0,1,1,0,1,0,0
9,50,0,1,1,0,0,0,0,0
2,8300,3,1,1,1,0,1,0,0
1,1800,3,1,1,1,1,1,1,1
0,150,0,1,1,1,1,1,1,1
0,500,0,1,1,1,1,1,1,0
2,900,3,1,1,1,1,1,1,0
1,300,0,0,1,1,0,0,0,0
1,300,0,0,1,1,0,0,0,0
1,300,1,0,1,0,0,0,0,0
5,3000,0,1,1,1,0,0,1,0
5,450,3,1,1,0,1,0,1,0
5,300,0,1,0,0,1,0,0,0
1,200,3,1,1,1,0,0,0,0
1,700,3,1,1,1,0,1,1,1
1,300,0,0,1,0,0,0,0,0
2,300,0,0,1,0,0,0,0,0
0,300,0,0,0,0,0,0,0,0
1,300,0,0,0,0,0,1,0,0
1,200,0,1,1,1,1,1,1,1
1,350,0,1,1,1,1,1,1,0
5,300,0,0,0,0,0,0,0,0
2,1000,0,0,1,0,0,0,0,0
9,100,0,0,1,1,1,0,0,0
2,300,0,0,0,0,0,0,0,0
2,6300,0,1,1,1,0,0,0,0
1,3400,0,1,0,0,0,0,1,0
1,2400,3,1,0,0,0,0,0,0
0,115000,3,1,1,0,0,0,0,0
1,40000,3,1,1,1,1,1,0,0
0,300,3,1,1,1,0,1,0,0
0,1500,3,1,0,0,0,0,0,0
2,4000,3,1,1,0,0,0,0,0
0,4100,3,1,1,1,0,1,0,0
0,2300,1,1,1,1,1,1,1,0
2,1500,3,1,1,1,1,1,1,0
2,300,0,1,1,0,0,0,0,0
0,15000,3,1,1,1,0,0,1,0
0,1700,0,1,1,1,0,1,1,0
0,2500,0,1,1,1,1,0,1,0
1,2400,0,1,1,1,0,1,1,0
1,300,0,1,1,1,1,1,0,0
0,2600,3,1,1,1,0,0,0,0
0,600,0,0,1,0,1,0,0,0
0,2000,0,1,1,1,0,0,0,0
1,26000,3,1,1,1,1,1,1,0
1,350,3,1,1,1,1,1,1,0
1,200,0,1,1,1,0,0,0,0
2,2300,0,1,1,1,0,1,1,0
1,300,0,0,1,0,0,0,0,0
2,600,3,1,1,1,1,1,1,0
1,300,0,0,1,0,0,0,0,0
5,1400,0,1,1,1,1,1,1,0
5,3000,0,1,1,1,1,1,1,0
5,300,0,0,1,0,0,0,0,0
1,2300,3,1,1,1,0,1,0,0
0,2600,0,1,1,1,0,1,0,0
2,300,0,0,1,1,1,0,0,0
0,300,0,1,1,1,1,1,0,0
0,22000,0,1,1,1,1,1,0,0
2,300,0,0,1,0,0,0,0,0
5,300,0,0,1,0,0,0,0,0
0,1000,0,1,1,1,1,1,1,1
0,300,0,0,1,0,0,0,0,0
9,300,0,0,1,0,0,0,0,0
0,1100,0,0,1,1,1,1,1,1
1,1000,0,1,0,0,0,1,0,0
0,300,0,0,1,0,0,0,0,0
1,1000,0,0,1,0,0,0,0,0
5,1100,3,0,0,0,0,0,0,0
5,2500,0,1,1,1,0,1,1,0
1,4000,3,1,1,1,0,1,1,1
1,200,0,0,1,1,0,0,0,0
1,350,1,1,1,1,0,0,0,0
1,4000,0,0,1,1,0,0,0,0
5,300,0,1,1,1,1,0,1,0
5,500,0,1,1,1,1,0,1,0
1,300,0,0,1,1,0,0,0,0
