country;children_per_woman_total_fertility;child_mortality_0_5_year_olds_dying_per_1000_born;co2_emissions_tonnes_per_person;corruption_perception_index_cpi;life_expectancy_years;vccin_effect_dag
Nigeria;5.59;125.0;0.627;26.0;63.4;0.113
Greece;1.31;4.58;7.04;46.0;80.8;0.16899999999999998
Russia;1.9269707030105976;8.53;11.2;29.0;71.3;0.184
Canada;1.59;5.28;16.0;83.0;81.7;0.105
Colombia;2.206435118980333;15.7;1.96;37.0;80.0;0.059000000000000004
Iran;2.21812819077823;16.0;8.17;27.0;76.5;0.084
Ukraine;1.53;9.5;4.99;27.0;69.2;0.154
Serbia;1.8392726645263708;6.28;4.93;40.0;75.1;0.141
Papua New Guinea;3.71;51.7;0.91;25.0;57.9;0.099
Saudi Arabia;2.58;8.54;19.6;52.0;76.2;0.024
Panama;2.54;16.9;2.74;39.0;78.9;0.051
Ecuador;2.51;15.1;2.63;32.0;76.6;0.021
Iraq;4.43;29.5;4.66;16.0;76.3;0.0
Italy;1.46;3.43;5.88;44.0;82.6;0.177
Portugal;1.25;3.66;5.04;64.0;81.5;0.044000000000000004
Philippines;2.96;30.1;1.12;35.0;69.2;0.022000000000000002
Armenia;2.1557651411894465;14.4;1.65;35.0;75.3;0.139
Algeria;2.565022654115838;24.9;3.8;36.0;77.1;0.078
Bangladesh;2.13;36.1;0.467;25.0;72.5;0.051
Belgium;1.7500155498024246;3.99;8.84;77.0;80.9;0.051
Sweden;1.91;2.87;4.41;89.0;82.2;0.059000000000000004
China;2.011550589015385;10.7;6.91;37.0;76.5;0.126
Ethiopia;4.32;63.5;0.128;33.0;67.2;0.021
Denmark;1.7589802381808122;4.22;6.19;91.0;80.9;0.042
Brazil;2.206435118980333;15.7;2.42;38.0;75.5;0.045
North Macedonia;1.52;12.3;3.41;42.0;76.5;0.114
South Africa;2.49;37.7;8.35;44.0;63.4;0.099
Israel;3.0;3.92;8.15;61.0;82.6;0.0
Peru;2.43;16.1;1.69;36.0;80.0;0.08
Indonesia;2.39;28.0;1.96;36.0;71.0;0.07
Thailand;1.5;10.5;4.1;38.0;78.2;0.065
Tunisia;2.22;17.2;2.62;38.0;77.9;0.043
Congo, Dem. Rep.;6.17;97.4;0.0367;22.0;61.3;0.08800000000000001
Morocco;2.53;25.5;1.76;36.0;73.5;0.052000000000000005
Mexico;2.22;14.8;3.96;31.0;75.9;0.14
Ghana;4.04;54.7;0.579;47.0;64.4;0.084
Czech Republic;1.52;3.15;9.89;56.0;78.8;0.073
Slovenia;1.6911604217530103;2.48;6.58;60.0;80.8;0.16399999999999998
France;1.98;4.1;5.3;70.0;82.5;0.17300000000000001
Mongolia;2.3194681463600033;18.6;7.76;39.0;68.6;0.066
Pakistan;3.55;76.0;0.9259999999999999;30.0;66.0;0.126
Japan;1.44;3.02;9.58;75.0;84.1;0.099
Australia;1.7453383210832658;3.87;16.8;79.0;82.5;0.043
Austria;1.49;3.71;7.7;76.0;81.5;0.11800000000000001
Bosnia and Herzegovina;1.35;6.14;5.39;38.0;76.4;0.26
Bulgaria;1.55;8.18;6.69;41.0;74.8;0.071
Iceland;1.95;2.18;10.7;79.0;82.7;0.022000000000000002
United Kingdom;1.7679449265591998;4.45;6.42;81.0;81.0;0.07
Vietnam;1.96;21.8;1.95;31.0;74.3;0.046
Azerbaijan;2.09;26.3;3.86;29.0;70.5;0.133
Spain;1.35;3.28;5.81;58.0;82.6;0.071
Netherlands;1.751574626042144;4.03;9.83;84.0;81.5;0.067
Argentina;2.31;11.5;4.64;32.0;76.5;0.013000000000000001
Finland;1.6802468880749732;2.2;8.06;90.0;81.6;0.035
Latvia;1.53;4.97;3.65;56.0;74.9;0.14300000000000002
United States;1.93;6.8;16.9;76.0;78.8;0.096
